Day;Month;Year;SunRad;Temp;TheorEff1;TheorEff2;Eff1;Eff2
23;7;19;429,3941;22,1619;0,6823;0,6772;0,5802;0,6843
24;7;19;473,2252;23,8903;0,6353;0,6245;0,7896;0,8784
25;7;19;466,4756;23,4041;0,6213;0,613;0,8016;0,8881
26;7;19;467,5152;29,4243;0,6159;0,6077;0,7721;0,8984
27;7;19;367,7464;27,8901;0,6658;0,6552;0,7672;0,7761
28;7;19;468,582;28,7855;0,6223;0,6109;0,7763;0,8416
30;7;19;450,0032;24,0774;0,607;0,5958;0,6632;0,8337
31;7;19;160,928;17,5694;0,5113;0,5045;0,3673;0,827
2;8;19;493,2808;20,8558;0,6248;0,6139;0,7007;0,8049
4;8;19;415,9342;18,7712;0,644;0,6372;0,3326;0,5215
5;8;19;288,7551;18,4289;0,6504;0,6395;0,4554;0,5014
6;8;19;201,6366;18,2341;0,6152;0,6131;0,2681;0,3719
7;8;19;363,4836;19,5828;0,6116;0,5989;0,6856;0,772
8;8;19;404,5336;19,722;0,6301;0,6238;0,5181;0,5794
9;8;19;433,0721;20,9403;0,6217;0,6114;0,7377;0,8694
10;8;19;283,2729;21,3922;0,6289;0,6114;0,5524;0,7086
14;8;19;298,3108;13,8911;0,5965;0,5631;0,6421;0,8398
15;8;19;298,3108;13,8911;0,5965;0,5631;0,6485;0,8435
16;8;19;263,5882;15,9429;0,5872;0,5899;0,3302;0,4535
17;8;19;220,6171;17,7901;0,5875;0,5646;0,504;0,6438
18;8;19;208,1674;16,6614;0,5663;0,5477;0,3795;0,4749
21;8;19;253,8232;15,7146;0,6522;0,6415;0,5798;0,5934
22;8;19;251,7503;16,8033;0,67;0,6556;0,6634;0,6317
23;8;19;260,1952;17,2675;0,6902;0,6622;0,3575;0,4261
24;8;19;277,8388;20,3613;0,6772;0,6504;0,3792;0,4561
25;8;19;368,5776;21,3806;0,6476;0,6366;0,7084;0,7619
26;8;19;400,912;24,5155;0,6252;0,6122;0,8723;0,9393
27;8;19;397,8056;24,7895;0,6262;0,6141;0,7639;0,8673
28;8;19;336,304;26,2709;0,6325;0,6181;0,6858;0,7705
29;8;19;259,0832;16,6719;0,6439;0,6325;0,5469;0,6052
1;9;19;203,1117;13,5063;0,6073;0,5973;0,4561;0,4899
2;9;19;310,1901;13,417;0,6032;0,5876;0,6652;0,7507
3;9;19;219,53;13,281;0,621;0,6095;0,3966;0,4099
5;9;19;227,2737;11,575;0,6155;0,5925;0,6111;0,667
6;9;19;273,3725;13,8161;0,6608;0,6519;0,2464;0,281
7;9;19;376,7504;15,0263;0,6105;0,5938;0,7863;0,8361
8;9;19;310,9855;15,885;0,6042;0,5897;0,6674;0,7437
10;9;19;371,1142;17,7034;0,6106;0,5922;0,8024;0,8739
12;9;19;138,4777;13,1162;0,5866;0,4857;0,5431;0,5808
13;9;19;224,3678;12,6477;0,6487;0,6393;0,3758;0,3502
16;9;19;169,0354;10,1658;0,6427;0,611;0,3206;0,3279
17;9;19;277,2501;9,988;0,5742;0,5111;0,6184;0,7682
18;9;19;305,1927;11,2315;0,5038;0,4412;0,6285;0,7846
24;9;19;226,5976;15,6795;0,5688;0,5392;0,6751;0,7567
25;9;19;263,2483;15,39;0,709;0,6928;0,4035;0,3959
26;9;19;276,181;16,7961;0,6792;0,6504;0,7218;0,7086
28;9;19;238,4297;16,8716;0,6007;0,5782;0,8303;0,8443
29;9;19;191,0697;13,3763;0,6006;0,5831;0,6081;0,6211
30;9;19;216,9975;7,7309;0,532;0,5192;0,7236;0,7693
2;10;19;262,5654;12,4048;0,5958;0,5747;0,7962;0,8325
3;10;19;262,2191;11,271;0,64;0,629;0,3748;0,3809
4;10;19;219,7372;10,5702;0,5592;0,5462;0,6195;0,6757
7;10;19;166,4102;7,5353;0,5358;0,5071;0,7536;0,7877
12;10;19;167,7726;11,0169;0,6156;0,5601;0,7662;0,772
13;10;19;149,1224;10,2855;0,5713;0,5414;0,5115;0,5757
18;10;19;233,507;12,0935;0,5902;0,5621;0,871;0,9011
19;10;19;151,4369;10,8521;0,5735;0,5428;0,0179;0,5607
20;10;19;207,4099;11,7715;0,5843;0,5572;0,8248;0,8419
25;10;19;134,0322;7,2519;0,608;0,5921;0,4346;0,4434
31;10;19;160,0882;7,1482;0,6015;0,5698;0,4109;0,5029
1;11;19;124,1545;7,4442;0,5706;0,5334;0,545;0,5566
